miasto,lat,lng,populatio
Warszawa,52.2331,21.0614,1764615
Kraków,50.0469,20.0048,767348
Łódź,51.7732,19.4804,690422
Wrocław,51.10773,17.03533,638586
Poznań,52.40619,16.92341,538633
Gdańsk,54.3611,18.6897,464254
Szczecin,53.4296,14.6242,403883
Bydgoszcz,53.12973,18.0383,352313
Lublin,51.2181,22.5639,339850
Białystok,53.12744,23.15649,297288
Katowice,50.2141,19.0079,296262
Gdynia,54.50361,18.46374,246306
Częstochowa,50.8096,19.1221,224376
Radom,51.4172,21.1561,214566
Sosnowiec,50.2711,19.1946,204013
Toruń,53.0144,18.6014,202562
Kielce,50.8541,20.6155,196804
Rzeszów,50.0054,21.9884,189662
Gliwice,50.3011,18.6498,181309
Zabrze,50.31412,18.79656,174349
Olsztyn,53.7765,20.4665,173070
Bielsko-Biała,49.812,19.0389,171505
Bytom,50.3652,18.8763,168394
Zielona Góra,51.9376,15.5121,139819
Rybnik,50.1108,18.5492,139129
Ruda Śląska,50.27006,18.87424,138578
Tychy,50.1264,19.0083,128211
Opole,50.6562,17.9306,128140
Gorzów Wielkopolski,52.7305,15.2171,124295
Dąbrowa Górnicza,50.371,19.3213,121121
Elbląg,54.1988,19.4344,120895
Płock,52.5354,19.7149,120787
Wałbrzych,50.7851,16.2912,113621
Włocławek,52.6653,19.0608,111752
Tarnów,50.01756,20.98663,109650
Chorzów,50.2884,18.9628,109021
Koszalin,54.2071,16.2166,107670
Kalisz,51.7472,18.076,101625
Legnica,51.2047,16.1583,100324
Grudziądz,53.48233,18.75538,95629
Jaworzno,50.1891,19.3013,92090
Słupsk,54.4605,17.0278,91465
Jastrzębie-Zdrój,49.9606,18.6005,89590
Nowy Sącz,49.6102,20.7066,84041
Piaseczno,52.0734,21.017,82526
Jelenia Góra,50.90087,15.72693,80072
Siedlce,52.1617,22.2757,77653
Konin,52.2562,18.2621,74834
Mysłowice,50.20962,19.15388,74647
Piotrków Trybunalski,51.4129,19.7166,74312
Piła,53.1348,16.7601,73791
Inowrocław,52.7816,18.2499,73577
Lubin,51.3994,16.1939,72892
Ostrów Wielkopolski,51.6469,17.8039,72364
Ostrowiec Świętokrzyski,50.9502,21.4064,69852
Suwałki,54.10272,22.92914,69554
Gniezno,52.52492,17.60328,68943
Stargard,53.31714,15.01377,68195
Głogów,51.6699,16.0436,68179
Siemianowice Śląskie,50.31231,19.0232,67523
Pabianice,51.6657,19.3548,65823
Zamość,50.7213,23.2485,64354
Leszno,51.844,16.5759,64197
Chełm,51.1355,23.4897,63333
Tomaszów Mazowiecki,51.5206,20.02592,63238
Łomża,53.18267,22.05888,63092
Żory,50.0389,18.6892,62243
Stalowa Wola,50.56649,22.01749,61903
Przemyśl,49.78345,22.78424,61808
Kędzierzyn-Koźle,50.34533,18.24553,61661
Ełk,53.8239,22.3598,61523
Tarnowskie Góry,50.4655,18.842,61262
Pruszków,52.172,20.7986,61237
Mielec,50.2573,21.5647,60628
Tczew,54.0907,18.7816,60257
Wieliczka,49.9878,20.046,58400
Bełchatów,51.3545,19.3626,57964
